"name","num","m1","m1time","lp1","lp1time","l1","l1time","l2","l2time","lc1","lc1time","lc2","lc2time","lc3","lc3time","m2","m2time","m3","m3time","rcmax","rcmaxtime"
"heskia",55,3.59371,0.0358181,26.9823,5.00679e-05,24.9847,4.50611e-05,29,0.000359058,34,9.05991e-06,34,3.8147e-06,23,4.76837e-06,25.9275,0.0331988,27.7656,0.0202582,25.156,0.000690937
"heskia",56,3.69636,0.0205629,28.5134,6.31809e-05,25.8746,6.48499e-05,31,0.000483036,32,1.21593e-05,32,5.00679e-06,1,5.96046e-06,26.6081,0.0339301,26.7738,0.0146029,25.8746,0.00133204
"heskia",57,4.50516,0.0276921,36.5825,9.70364e-05,31.4606,9.70364e-05,38,0.000531912,34,1.19209e-05,34,6.19888e-06,1,5.96046e-06,32.7711,0.043539,34.1548,0.024776,31.5361,0.00106311
"heskia",58,3.69059,0.0227051,26.399,6.07967e-05,25.7769,5.60284e-05,30,0.000321865,24,5.00679e-06,24,3.09944e-06,1,4.05312e-06,28.2358,0.016181,29.4864,0.015856,25.8342,0.000672102
"heskia",59,4.05683,0.0217118,32.8144,4.81606e-05,27.9823,3.8147e-05,40,0.000402927,40,5.00679e-06,40,4.05312e-06,1,4.05312e-06,30.1652,0.026803,33.7788,0.02005,28.3978,0.000592947
"heskia",60,3.16345,0.0281329,24.6151,4.60148e-05,22.1442,4.29153e-05,25,0.000305176,28,6.19888e-06,28,4.05312e-06,18,4.05312e-06,22.6625,0.0231102,22.97,0.0193808,22.1442,0.000632048
"heskia",61,7.7148,0.0250661,56.2172,5.81741e-05,53.9438,4.60148e-05,55,0.000439882,52,5.00679e-06,52,4.05312e-06,1,4.05312e-06,55.4524,0.0324881,55.8747,0.0197802,54.0036,0.000818968
"heskia",62,6.4778,0.031204,46.8653,6.00815e-05,45.2767,5.4121e-05,48,0.000380993,44,8.10623e-06,44,3.09944e-06,42,5.00679e-06,46.4314,0.0282688,47.5658,0.0139689,45.3446,0.00067997
"heskia",63,6.40556,0.0312991,47.7362,5.22137e-05,44.3837,4.1008e-05,54,0.000434875,53,5.00679e-06,53,3.09944e-06,1,4.05312e-06,45.8262,0.0268838,47.3609,0.0199831,44.8389,0.000802994
"heskia",64,8.32829,0.0178111,65.9896,7.00951e-05,56.7871,4.60148e-05,72,0.000705004,108,5.00679e-06,108,2.86102e-06,1,4.05312e-06,59.6421,0.0136602,60.4544,0.0154641,58.298,0.000720024
"heskia",65,7.72612,0.016999,56.2948,9.20296e-05,53.9644,6.69956e-05,56,0.000653982,107,5.00679e-06,107,3.09944e-06,47,5.00679e-06,56.0229,0.027281,61.1186,0.0256159,54.0828,0.000833035
